id,created_by_name,published,published_url,year,month,day,title_no,title_en,subtitle_no,subtitle_en,excerpt_no,excerpt_en,tags_no,tags_en,word_count,temperature,color,x,y,cluster,article_keywords_no,article_keywords_en,top_keywords_no,top_keywords_en,cluster_subject_en,cluster_subject_no
545658,"Kristiansen, Martin",2024-09-20 10:17:59+00:00,/stiller-sporsmal-om-kommunokonomien/545658,2024,9,20,Stiller spørsmål om kommunøkonomien,Questions Raised About Municipal Finances,"– Longyearbyen lokalstyre må gjøre en grundig vurdering av hva det brukes penger på, og vi er opptatt av en bred gjennomgang for å få en god oversikt. Det understreker Jo Gytri i Svalbard Høyre.","“Longyearbyen Community Council must thoroughly assess what it spends money on, and we want a broad review to gain a clear overview. That is what Jo Gytri of Svalbard Conservative Party emphasizes.”",I starten av onsdagens lokalstyremøte stilte Gytri spørsmål til administrasjonen på vegne av listesamarbeidet Venstre/Høyre. Det er en oppfølging fra fjorårets budsjettmøte.,"At the start of Wednesday’s community council meeting, Gytri questioned the administration on behalf of the Venstre/Conservative Party list alliance. This follows up on last year’s budget meeting.",nyheter,news,260,9,#ff0000,476,254,p_87,"[""gytri"", ""administrasjon"", ""idrett"", ""kultur"", ""evaluering"", ""stab"", ""administrasjonssjef"", ""økonomi""]","[""gytri"", ""administration"", ""sports"", ""culture"", ""evaluation"", ""staff"", ""chief administrative officer"", ""finances""]","[""forslag"", ""stemmerett"", ""lokalstyr"", ""olsen"", ""fastland"", ""administrasjon"", ""samfunn"", ""lokalstyre"", ""venstre"", ""møte"", ""politiker"", ""statsborger"", ""parti"", ""botid"", ""høring""]","[""proposal"", ""voting rights"", ""local governance"", ""Olsen"", ""mainland"", ""administration"", ""community"", ""local council"", ""Liberal Party"", ""meeting"", ""politician"", ""citizen"", ""party"", ""residency period"", ""consultation""]",Longyearbyen local governance,Lokalstyret i Longyearbyen
545609,"Nagell Ylvisåker, Line",2024-09-20 03:00:00+00:00,/heller-krav-til-helarsjobb-enn-overvintring/545609,2024,9,20,Heller krav til helårsjobb enn overvintring,Year-Round Work Preferred to Staying Overwinter,"Tommy Sandal mener overvintringskravet er utdatert, men at staten må stille krav til fangstfolk. – De som har som holdning at det ikke er mulig å leve av dette, burde ikke fått lov til å eie en fangsthytte, sier han.","Tommy Sandal believes the overwintering requirement is outdated, but says the state must set requirements for trappers. “Those who believe it is impossible to make a living from this should not be allowed to own a trapping cabin,” he says.","TommySandal har vært fangstmann på Svalbard siden 2007. Han har Akseløya somhovedstasjon, og er i disse dager ute i terrenget for å skyte de 40 reinsdyrenehan har kvote på.","Tommy Sandal has worked as a trapper on Svalbard since 2007. Akseløya is his main base, and these days he is out in the field to shoot the 40 reindeer for which he has a quota.",nyheter,news,1230,9,#ff0000,764,494,p_43,"[""fangst"", ""sandal"", ""yrke"", ""fangstfolk"", ""fangstmann"", ""motstand"", ""dun"", ""stat""]","[""trapping"", ""sandal"", ""occupation"", ""trappers"", ""trapper"", ""opposition"", ""down"", ""state""]","[""austfjordnes"", ""fangst"", ""stasjon"", ""fangststasjon"", ""fangstfolk"", ""fangstmann"", ""hytte"", ""kapp"", ""harald"", ""wijk"", ""erfaring"", ""sandal"", ""overvintring"", ""soleim"", ""sesong""]","[""Austfjordnes"", ""trapping"", ""station"", ""trapping station"", ""trappers"", ""trapper"", ""cabin"", ""Cape"", ""Harald"", ""Wijk"", ""experience"", ""Sandal"", ""overwintering"", ""Soleim"", ""season""]",Overwintering trapping,Overvintringsfangst
545582,"Kristiansen, Martin",2024-09-19 12:58:01+00:00,/idrett-kultur-lokalstyret/vi-ma-justere-kursen/545582,2024,9,19,– Vi må justere kursen,“We Need to Adjust Course”,"– Når vi har kommet dit at det å drifte et galleri går på bekostning av det vi kaller primærtjenester, er vi kommet galt avgårde.","“When running a gallery comes at the expense of what we call primary services, we have gone off track.”","Det sa Svalbard Høyres Jo Gytri fra talerstolen under gjennomgangen tjenestebeskrivelsen for kultur og idrett. Politkerne bestilte denne i lokalstyrets desembermøte i fjor, og den ble lagt frem for dem under lokalstyrets første høstmøte onsdag.– Vi har veldig mye å være stolte av i byen.","Svalbard Conservative Party’s Jo Gytri said this from the podium during the review of the cultural and sports services. Politicians commissioned the review at the community council’s December meeting last year, and it was presented to them at the council’s first autumn meeting on Wednesday. “We have a great deal to be proud of in the town.”","nyheter, lokalstyret, idrett, kultur","news, community council, sports, culture",432,9,#ff0000,476,256,p_87,"[""gytri"", ""kultur"", ""lokalstyr"", ""kostnadsnivå"", ""budsjettprosesse"", ""signal"", ""inntekt"", ""administrasjon""]","[""gytri"", ""culture"", ""community council"", ""cost level"", ""budget process"", ""signal"", ""income"", ""administration""]","[""forslag"", ""stemmerett"", ""lokalstyr"", ""olsen"", ""fastland"", ""administrasjon"", ""samfunn"", ""lokalstyre"", ""venstre"", ""møte"", ""politiker"", ""statsborger"", ""parti"", ""botid"", ""høring""]","[""proposal"", ""voting rights"", ""local governance"", ""Olsen"", ""mainland"", ""administration"", ""community"", ""local council"", ""Liberal Party"", ""meeting"", ""politician"", ""citizen"", ""party"", ""residency period"", ""consultation""]",Longyearbyen local governance,Lokalstyret i Longyearbyen
545561,"Nagell Ylvisåker, Line",2024-09-19 10:48:22+00:00,/vi-vil-sende-ut-et-sterkt-signal-til-verden/545561,2024,9,19,– Vi vil sende ut et sterkt signal til verden,“We Want to Send a Strong Signal to the World”,– Vi vil sende ut et sterkt signal til verden,“We want to send a strong signal to the world.”,"På førstkommende fredag, den 20. september skal folk over hele verden demonstrere for bedre klimatiltak og Longyearbyen blir med.","This coming Friday, September 20, people around the world will demonstrate for stronger climate action, and Longyearbyen will join them.",meninger,opinion,412,9,#ff0000,802,363,p_27,"[""permafrost"", ""tap"", ""klimakrise"", ""utslipp"", ""august"", ""tining"", ""usa"", ""turområde""]","[""permafrost"", ""loss"", ""climate crisis"", ""emissions"", ""August"", ""thawing"", ""USA"", ""hiking area""]","[""grad"", ""temperatur"", ""normal"", ""nedbør"", ""vind"", ""vær"", ""måned"", ""lufthavn"", ""institutt"", ""pedersen"", ""meteorologisk"", ""sommer"", ""snø"", ""rekord"", ""juli""]","[""degree"", ""temperature"", ""normal"", ""precipitation"", ""wind"", ""weather"", ""month"", ""airport"", ""institute"", ""Pedersen"", ""meteorological"", ""summer"", ""snow"", ""record"", ""July""]",Weather and climate,Vær og klima
545543,"Kristiansen, Martin",2024-09-19 09:46:18+00:00,/korkpenger-kultur-lokalstyre/vil-ha-korkpenger-fra-50000-turister/545543,2024,9,19,Vil ha korkpenger fra 50.000 turister,"Wants Bottle-Deposit Funds from 50,000 Tourists",Lokalstyreleder Terje Aunevik (V) kom med et ønske da politikerne debatterte korkpengeordningen i onsdagens møte.,Community council chair Terje Aunevik (Liberal Party) made the request when politicians debated the bottle-deposit scheme at Wednesday’s meeting.,"Lokalstyret har vedtatt at rammen for årlig tildeling av korkpenger til lag og foreninger skal endres. Nå skal 30 prosent av overskuddet fra Nordpolet AS, eller maks 2,4 millioner kroner, gå til dette formålet.","The community council has decided to change the framework for annual allocations of bottle-deposit funds to clubs and associations. Thirty percent of Nordpolet AS’s profit, or a maximum of NOK 2.4 million, will now go to this purpose.","lokalstyre, korkpenger, nyheter, politikk, kultur","community council, bottle-deposit funds, news, politics, culture",573,9,#ff0000,426,264,p_47,"[""loku"", ""nordpolet"", ""aunevik"", ""møte"", ""tildeling"", ""komite"", ""neuhold"", ""hindring""]","[""community council"", ""nordpolet"", ""aunevik"", ""meeting"", ""allocation"", ""committee"", ""neuhold"", ""obstacle""]","[""million"", ""penge"", ""forslag"", ""nordpolet"", ""søknad"", ""søknadssum"", ""tildeling"", ""vedtak"", ""korkpenge"", ""administrasjon"", ""overskudd"", ""møte"", ""politiker"", ""lokalstyre"", ""korkpeng""]","[""million"", ""money"", ""proposal"", ""Nordpolet"", ""application"", ""application amount"", ""allocation"", ""decision"", ""cork money"", ""administration"", ""surplus"", ""meeting"", ""politician"", ""local council"", ""cork funds""]",Nordpolet Surplus Fund,Nordpolets overskuddsmidler
545408,"Nagell Ylvisåker, Line",2024-09-19 03:00:00+00:00,/dette-er-radene-fra-telenor-sjefen/545408,2024,9,19,Dette er rådene fra Telenor-sjefen,Advice from the Telenor Chief,Arktiske områder er mer utsatt for sikkerhetspolitiske spenninger. Det krever ekstra årvåkenhet. Leder Christian Skottun i Telenor Svalbard oppfordrer folk til å skru av roaming og ikke bruke åpne nett.,"Arctic areas are more exposed to security-policy tensions. This calls for extra vigilance. Christian Skottun, head of Telenor Svalbard, urges people to turn off roaming and avoid using open networks.","– I en tid hvor infrastruktur i Europa er mer utsatt enn tidligere, og hvor spesielt Russland vurderes å utgjøre en hybrid fare, har vi særskilt fokus på hvordan egen infrastruktur er knyttet opp mot annen kritisk infrastruktur, skriver Telenor i meldingen som ble lagt fram forrige uke.","“At a time when infrastructure in Europe is more exposed than before, and when Russia in particular is considered to pose a hybrid threat, we are focusing especially on how our own infrastructure is connected to other critical infrastructure,” Telenor wrote in the statement issued last week.",nyheter,news,855,9,#ff0000,712,267,p_19,"[""telenor"", ""skottun"", ""nett"", ""telefon"", ""nettverk"", ""region"", ""infrastruktur"", ""nøkkelperson""]","[""telenor"", ""skottun"", ""internet"", ""telephone"", ""network"", ""region"", ""infrastructure"", ""key person""]","[""telenor"", ""kabel"", ""dekning"", ""space"", ""norway"", ""nrk"", ""nett"", ""dab"", ""fastland"", ""skottun"", ""sender"", ""bruk"", ""troms"", ""garfors"", ""hansen""]","[""Telenor"", ""cable"", ""coverage"", ""space"", ""Norway"", ""NRK"", ""network"", ""DAB"", ""mainland"", ""Skottun"", ""transmitter"", ""use"", ""Troms"", ""Garfors"", ""Hansen""]",Telecommunications infrastructure,Telekommunikasjonsinfrastruktur
545504,"Markussen, Anja Charlotte",2024-09-18 08:01:54+00:00,/ikke-kast-batteri-i-vanlig-avfall/545504,2024,9,18,– Ikke kast batteri i vanlig avfall,“Do Not Throw Batteries in Regular Waste”,Det var trolig et litiumbatteri som antente på miljøstasjonen tirsdag.,It was probably a lithium battery that caught fire at the recycling station on Tuesday.,"– Noen har levert restavfall, og blant restavfallet var det et batteri som ikke var sortert ut, sier Lauritsen etter at det tirsdag ettermiddag begynte å brenne i kverna inne på miljøstasjonen, sier driftsleder Hans Petter Lauritsen i Longyearbyen lokalstyre.","“Someone disposed of residual waste, and among it was a battery that had not been sorted out,” says operations manager Hans Petter Lauritsen of Longyearbyen Community Council, after a fire started in the shredder inside the recycling station on Tuesday afternoon.",nyheter,news,212,9,#ff0000,555,353,p_97,"[""restavfall"", ""lauritsen"", ""driftsleder"", ""kvern"", ""brann"", ""miljøstasjone"", ""batteri"", ""røyk""]","[""residual waste"", ""lauritsen"", ""operations manager"", ""shredder"", ""fire"", ""recycling station"", ""battery"", ""smoke""]","[""skuter"", ""snøskuter"", ""avfall"", ""vei"", ""hauan"", ""deponie"", ""bil"", ""lokalstyre"", ""lauritsen"", ""skut"", ""skuterparkering"", ""deponi"", ""søppel"", ""endring"", ""løsning""]","[""snowmobile"", ""snowmobile"", ""waste"", ""road"", ""Hauan"", ""landfill"", ""car"", ""local council"", ""Lauritsen"", ""snowmobile"", ""snowmobile parking"", ""landfill"", ""garbage"", ""change"", ""solution""]",Waste and Vehicle Disposal,Avfall og vraking av kjøretøy
545459,"Kristiansen, Martin",2024-09-17 14:56:14+00:00,/brann-miljostasjon-politi/rykket-ut-til-brann/545459,2024,9,17,Rykket ut til brann,Responded to Fire,Rykket ut til brann,Responded to fire,"Like før klokka 17 tirsdag ettermiddag rykket politiet ut til Miljøstasjonen.– Vi har fått melding om brann på Miljøstasjonen, opplyser sysselmesterførstebetjent Håkon Finstad til Svalbardposten klokka 1650.– Politiet er på stedet og det er ingen personer som er skadd, sier Finstad.","Just before 5 p.m. on Tuesday afternoon, police responded to the recycling station. “We received a report of a fire at the recycling station,” police sergeant Håkon Finstad told Svalbardposten at 4:50 p.m. “Police are on the scene, and no one has been injured,” Finstad said.","politi, nyheter, brann, miljøstasjon","police, news, fire, recycling station",63,9,#ff0000,658,556,p_65,"[""finstad"", ""miljøstasjonen"", ""politi"", ""klokke"", ""brannbil"", ""flamme"", ""håkon"", ""hall""]","[""finstad"", ""recycling station"", ""police"", ""time"", ""fire engine"", ""flame"", ""håkon"", ""hall""]","[""bjørkås"", ""sysselmesterførstebetjent"", ""taina"", ""schogster"", ""maria"", ""sysselmester"", ""vei"", ""mann"", ""klokke"", ""melding"", ""finstad"", ""politi"", ""bil"", ""helikopter"", ""person""]","[""Bjørkås"", ""Chief Superintendent of the Governor of Svalbard"", ""Taina"", ""Schogster"", ""Maria"", ""Governor of Svalbard"", ""road"", ""man"", ""clock"", ""report"", ""Finstad"", ""police"", ""car"", ""helicopter"", ""person""]",Police incident log,Politiloggen
545386,"Markussen, Anja Charlotte",2024-09-17 10:41:56+00:00,/vadeskudd-pa-skytebanen/545386,2024,9,17,Vådeskudd på skytebanen,Accidental Discharge at Shooting Range,Vådeskudd på skytebanen,Accidental discharge at shooting range,Mandag ettermiddag fikk Sysselmesteren inn melding om et vådeskudd på skytebanen i Longyearbyen. Vådeskuddet ble løsnet under en organisert trening.,"On Monday afternoon, the Governor of Svalbard received a report of an accidental discharge at the shooting range in Longyearbyen. The shot was fired during organized training.",notis,brief,43,9,#ff0000,666,535,p_66,"[""høysæter"", ""vådeskudd"", ""skyteban"", ""skudd"", ""silje"", ""trening"", ""sysselmesterførstebetjent"", ""ettermiddag""]","[""høysæter"", ""accidental discharge"", ""shooting range"", ""shot"", ""silje"", ""training"", ""police sergeant"", ""afternoon""]","[""sysselmesterførstebetjent"", ""sysselmester"", ""klokke"", ""person"", ""helikopter"", ""melding"", ""hendelse"", ""søreng"", ""mann"", ""politi"", ""sykehus"", ""sysselmesteren"", ""schjølset"", ""ree"", ""vei""]","[""Chief Superintendent of the Governor of Svalbard"", ""Governor of Svalbard"", ""clock"", ""person"", ""helicopter"", ""report"", ""incident"", ""Søreng"", ""man"", ""police"", ""hospital"", ""Governor of Svalbard"", ""Schjølset"", ""Ree"", ""road""]",Governor of Svalbard Incident Log,Sysselmesterens hendelseslogg
545148,"Kristiansen, Martin",2024-09-17 08:59:28+00:00,/historie-norsk-polarinstitutt-stedsnavn/tre-oyer-har-fatt-nye-navn/545148,2024,9,17,Tre øyer har fått nye navn,Three Islands Given New Names,Før gikk de under samlebetegnelsen Ryke Yseøyane. Nå har de fått individuelle navn.,They were previously known collectively as Ryke Yseøyane. Now they have been given individual names.,"Det er Eva Therese Jenssen fra Longyearbyen som foreslo å sette navn på hver av øyene, melder Polarhistorie.no. Nye navn på Svalbard blir vedtatt av Norsk Polarinstitutts navnekomité.","Eva Therese Jenssen from Longyearbyen proposed naming each of the islands, Polarhistorie.no reports. New names in Svalbard are adopted by the Norwegian Polar Institute’s Names Committee.","stedsnavn, norsk polarinstitutt, historie, nyheter","place names, Norwegian Polar Institute, history, news",209,9,#ff0000,735,385,p_51,"[""navn"", ""jenssen"", ""polarhistorie"", ""ryke"", ""polarinstitutt"", ""sirkulasjon"", ""ingebrigtsen"", ""sysselmester""]","[""names"", ""jenssen"", ""polarhistorie"", ""ryke"", ""Polar Institute"", ""circulation"", ""ingebrigtsen"", ""Governor of Svalbard""]","[""fjord"", ""vann"", ""unis"", ""isfjorden"", ""lys"", ""vinter"", ""art"", ""hav"", ""kongsfjorden"", ""meter"", ""polarnatt"", ""torsk"", ""forsker"", ""temperatur"", ""arktis""]","[""fjord"", ""water"", ""UNIS"", ""Isfjorden"", ""light"", ""winter"", ""species"", ""sea"", ""Kongsfjorden"", ""metre"", ""polar night"", ""cod"", ""researcher"", ""temperature"", ""Arctic""]",Svalbard environmental research,Miljøforskning på Svalbard
